Email,Keyword,Lunghezza,Intestazione,Valida
1,offerta,lunga,si,si
2,offerta,lunga,no,si
3,offerta,corta,no,no
4,offerta,media,si,si
5,money,media,no,no
6,money,lunga,si,no
7,money,corta,no,no
8,viagra,lunga,si,no
9,viagra,lunga,no,si
10,viagra,media,no,no
11,offerta,lunga,si,si
12,offerta,lunga,no,si
13,offerta,corta,no,no
14,offerta,media,si,si
15,money,media,no,no
16,money,lunga,si,no
17,money,corta,no,no
18,viagra,lunga,si,no
19,viagra,lunga,no,si
20,viagra,media,no,no
21,offerta,lunga,si,si
22,offerta,lunga,no,si
23,offerta,corta,no,no
24,offerta,media,si,si
25,money,media,no,no
26,money,lunga,si,no
27,money,corta,no,no
28,viagra,lunga,si,no
29,viagra,lunga,no,si
30,viagra,media,no,no
